ds,yhat,yhat_lower,yhat_upper
2019-03-11,220643.37285444923,159073.0644407109,282254.54113459226
2019-03-12,157627.77832773517,98775.14273806268,217294.0093907451
2019-03-13,103587.21896070747,45591.533284250356,160873.91445098416
2019-03-14,119323.31509304782,62407.29185256811,177169.39125208248
2019-03-15,124807.03479978546,62036.40533009167,183482.91139041045
2019-03-16,155852.33916154588,95483.53266647567,212213.26084740227
2019-03-17,202653.32368789267,143365.51271324934,261234.47351535314
2019-03-18,220082.9019694392,164175.7647266151,282110.4243235042
2019-03-19,155538.1439355973,99558.45291876742,215345.1408858785
2019-03-20,100160.06345494725,39287.036764105134,158894.45504457204
2019-03-21,114923.74752922253,57229.280315422926,174452.35019970467
2019-03-22,119607.93836675785,56686.01751671014,184085.7860001203
2019-03-23,150126.09404684213,92113.82622941917,209812.61662292544
2019-03-24,196649.87666335315,143722.62696103242,257502.5271815887
2019-03-25,213934.48654549677,154639.0634220169,268875.16827405116
2019-03-26,149235.56986879962,91389.25428232829,209284.43570304677
2019-03-27,93915.8227242345,35232.18618014341,152640.5470692487
2019-03-28,109090.59471851845,48807.0384523624,169042.07897499422
2019-03-29,114314.58004054733,57226.06396856084,172819.60662206003
2019-03-30,145571.02537686776,88337.35878135324,204377.30600163448
2019-03-31,192982.2203605711,134809.8577942483,253913.68857683393
2019-04-01,211162.04806465964,152744.9878291299,265343.3503300853
2019-04-02,147204.9266365025,86963.44830025773,203148.73810248097
2019-04-03,92679.58529998617,33818.55239944928,153786.4563987788
2019-04-04,108830.38352803714,49393.09575545083,163000.89272506835
2019-04-05,114981.23507102739,56565.41274596619,173401.91278029722
2019-04-06,147182.97506652624,89227.17050252047,202098.3098187634
2019-04-07,195510.7491115467,140640.5302905388,255689.45596211206
2019-04-08,214443.5761637671,154850.68598883817,271041.575697416
2019-04-09,150925.02287614587,91462.30349755983,208683.51011070228
2019-04-10,96743.75851655322,39787.28918492717,157700.50691642065
2019-04-11,113290.13631155914,56202.72296952355,172799.30114135842
2019-04-12,119676.84592642036,59765.56346810421,179389.85104621283
2019-04-13,152043.86515136616,95706.5080659496,212897.05462489068
2019-04-14,200442.1763800866,144562.17152759287,258619.66613434115
2019-04-15,219239.74310852852,158712.26891893207,282595.305748187
2019-04-16,155253.32363625205,96181.98299480583,216297.57595859212
2019-04-17,100515.23001677287,41024.79308673764,162824.30335777128
2019-04-18,116584.63532940196,57659.198608140076,172867.6094595399
2019-04-19,122384.4525944211,61589.507427489065,183628.54042116593
2019-04-20,154163.42602273865,98046.30704851692,213621.7107448589
2019-04-21,201965.78937277666,145901.70816988088,257465.8137982337
2019-04-22,220063.3405195994,162370.25978889116,276297.3789816921
2019-04-23,155158.15045343415,93544.74397039479,212546.86786180304
2019-04-24,99535.35666172774,39655.43693602502,160074.90144669695
2019-04-25,114929.10148048405,56927.38415370322,178421.6072084631
2019-04-26,120075.615731938,57941.72827995094,175590.42626499906
2019-04-27,151332.4976196873,93556.66242307998,210643.96715829958
2019-04-28,198734.4259393817,143201.51275568482,260200.44233078836
2019-04-29,216444.84248089785,153759.11911609888,275708.31169369933
2019-04-30,151053.79339405402,91057.96898186563,214655.70313812338
2019-05-01,95088.10720572514,32707.669655919915,155456.92068961353
2019-05-02,110436.21840949924,51704.014484357314,165528.97837483799
2019-05-03,115639.82608129819,55260.47345333731,173419.9911753465
2019-05-04,147144.53748209495,87450.82114150473,207815.17626724133
2019-05-05,194959.23546224704,134922.49985317382,254294.29486287228
2019-05-06,213145.587578982,150037.98432305673,275392.7140080735
2019-05-07,148161.0054311601,94356.19035779427,206341.5320081307
2019-05-08,92738.29988176448,29497.29741682521,148255.045107236
2019-05-09,108899.14225886157,49003.54777393488,168605.53951906424
2019-05-10,114986.77720750753,52942.22024037161,176646.41003698623
2019-05-11,147518.20544212253,90176.50766394015,208679.62877544382
2019-05-12,196465.55738849627,138270.01500171053,257933.82370199967
2019-05-13,215770.1385793114,154758.91526688274,274752.2076496786
2019-05-14,151750.89905198166,87534.87925006132,211115.3518858913
2019-05-15,97337.77628099323,39480.4170115318,154192.14843448537
2019-05-16,114678.53732283156,56404.459536679344,172837.92776860538
2019-05-17,121912.59567410569,59388.82739175877,180247.63037476823
2019-05-18,155624.75246335182,91265.08560402857,212474.16801207306
2019-05-19,205748.5675806721,144919.4622300022,264662.1177158743
2019-05-20,226104.90726813258,166979.99566221904,288299.3056029948
2019-05-21,162875.86699474827,100779.07139473742,225606.99697300102
2019-05-22,109185.18310096637,47642.180157362025,167962.3319359099
2019-05-23,127315.8222089266,66312.54852104366,187829.64560975792
2019-05-24,135211.34474941972,77809.86848956616,196301.01955828848
2019-05-25,169524.8379030372,109725.56816290505,231779.3504157374
2019-05-26,220158.1591563432,160826.30918477752,280265.40027379134
2019-05-27,240835.03409289106,183730.87183691154,300232.82658651704
2019-05-28,177639.13876217278,121191.49661632741,238316.75239597002
2019-05-29,123882.67787924068,64012.3920905442,177565.55158321874
2019-05-30,141951.58309882862,79503.9563957424,202699.54739175987
2019-05-31,149638.36672196185,85864.90543692789,212200.56980236265
2019-06-01,183668.44847820114,122325.62059140173,243363.83721243986
2019-06-02,233930.50058540798,174215.96558973964,290879.7086553624
2019-06-03,254069.2892770161,195114.7985241668,314300.1474278927
2019-06-04,190076.92804634845,131229.15989127773,248551.48527118468
2019-06-05,135449.90591603544,75339.01802303267,194972.9324025945
2019-06-06,152701.90660750674,92954.3549441682,215254.44779047882
2019-06-07,159484.8862022402,98995.20177224795,216371.29489423474
2019-06-08,192606.1933534796,133968.7160186447,255312.26127430634
2019-06-09,241949.86506551105,182066.92258986106,303945.88035217056
2019-06-10,261089.07026539958,201699.09713209563,321490.26267022686
2019-06-11,195930.40398764372,136219.75577447144,255708.48958680028
2019-06-12,140159.2504099745,80160.5699395968,199734.98171318037
2019-06-13,156420.1252439099,98398.34982931244,214862.43597886784
2019-06-14,162213.19285367886,102509.21193385014,222904.3663276451
2019-06-15,194435.206167873,134055.35406694782,252825.68189993082
2019-06-16,242959.86207513462,185417.21158910208,301972.87288893637
2019-06-17,261295.9034695991,199758.62631663884,317489.34431224334
2019-06-18,195287.47323661234,135700.19278954485,258657.04078478864
2019-06-19,138777.76168098353,78364.30087439771,194190.3693365765
2019-06-20,154497.22297233902,95284.50004345541,209535.8583057488
2019-06-21,159844.747559722,101056.02238415035,220554.35182768136
2019-06-22,191756.73329555523,131701.49526640045,249728.01969480203
2019-06-23,240094.03547463534,183976.49478306607,301624.0509829564
2019-06-24,258303.0502546266,195998.00820511917,321867.63657897024
2019-06-25,192153.64270256026,135345.17704721703,249094.89826209313
2019-06-26,135606.174044507,75956.75633701902,196103.40443892326
2019-06-27,151465.80334094257,87155.49609258481,217401.86204293306
2019-06-28,157014.7615563845,98259.39337500608,216686.8662762896
2019-06-29,189227.5121813456,132588.9405560936,247975.90690021848
2019-06-30,237940.3752357002,177781.08033159707,295757.18138073705
2019-07-01,256526.8478268823,197645.62224280223,314892.6835814822
2019-07-02,190673.35745620893,136766.24554716185,248825.97402153586
2019-07-03,134449.89341520373,76569.54793959962,190847.4684014232
2019-07-04,150730.58445363346,89133.19170074159,208669.6908014462
2019-07-05,156677.22561062465,103691.58911135962,215706.7060278816
2019-07-06,189300.63451436255,128060.53858683801,246803.93931406894
2019-07-07,238413.00632729853,172788.194354264,294928.7042581849
2019-07-08,257298.52628543432,197706.61976147373,317366.2222662756
2019-07-09,191593.4298005262,136477.30570011894,251198.33173209836
2019-07-10,135481.7993729823,75411.94888340005,194807.74962063693
2019-07-11,151894.4827913717,89484.12453537334,213587.0232667478
2019-07-12,157897.3654675347,97808.8767124667,218353.3291139467
2019-07-13,190534.92342008182,131714.11816735342,250970.95953849377
2019-07-14,239607.0311892303,179904.27366506154,300335.1183324669
2019-07-15,258383.50549944886,198157.79753072132,316405.7059808293
2019-07-16,192449.37900444283,133172.510123171,255665.43690350273
2019-07-17,136069.9319079739,74947.63834862203,197084.83570248127
2019-07-18,152234.11864364127,94675.89573782578,212782.3699297424
2019-07-19,157952.5619069612,95395.84642161928,217104.3624567822
2019-07-20,190309.666591798,126853.72069411047,250225.87986105276
2019-07-21,239108.71484436936,182878.73642338614,302934.05086018704
2019-07-22,257594.48769255992,195865.76579968844,319189.33170025534
